x-axis,1,2,F1
second,Volt,Volt,Volt
-3.775000E-03,+482.412055E-03,+59.528391E-03,+418.889762E-03
-3.770000E-03,+482.412055E-03,+54.221859E-03,+428.824455E-03
-3.765000E-03,+482.412055E-03,+48.915326E-03,+431.467033E-03
-3.760000E-03,+490.452256E-03,+43.608794E-03,+434.109611E-03
-3.755000E-03,+490.452256E-03,+42.945477E-03,+441.401726E-03
-3.750000E-03,+490.452256E-03,+36.975628E-03,+448.693840E-03
-3.745000E-03,+484.422105E-03,+34.985678E-03,+453.343377E-03
-3.740000E-03,+482.412055E-03,+30.342462E-03,+452.607659E-03
-3.735000E-03,+488.442206E-03,+25.699246E-03,+457.232171E-03
-3.730000E-03,+486.432156E-03,+19.729397E-03,+460.535393E-03
-3.725000E-03,+484.422105E-03,+17.076130E-03,+463.838616E-03
-3.720000E-03,+490.452256E-03,+14.422864E-03,+468.463128E-03
-3.715000E-03,+476.381904E-03,+6.463065E-03,+465.720452E-03
-3.710000E-03,+474.371854E-03,+3.809799E-03,+468.363030E-03
-3.705000E-03,+474.371854E-03,-833.417E-06,+465.620354E-03
-3.700000E-03,+466.331653E-03,-4.150000E-03,+468.262933E-03
-3.695000E-03,+458.291452E-03,-8.793216E-03,+465.520257E-03
-3.690000E-03,+458.291452E-03,-10.783166E-03,+466.791497E-03
-3.685000E-03,+452.261302E-03,-19.406281E-03,+461.381219E-03
-3.680000E-03,+450.251251E-03,-22.722864E-03,+462.677483E-03
-3.675000E-03,+440.201000E-03,-27.366080E-03,+461.941765E-03
-3.670000E-03,+430.150749E-03,-29.356030E-03,+454.549553E-03
-3.665000E-03,+426.130649E-03,-35.325879E-03,+453.813836E-03
-3.660000E-03,+418.090448E-03,-38.642462E-03,+446.421623E-03
-3.655000E-03,+412.060297E-03,-41.959045E-03,+451.706780E-03
-3.650000E-03,+406.030146E-03,-49.255527E-03,+448.964104E-03
-3.645000E-03,+391.959795E-03,-51.908793E-03,+445.560784E-03
-3.640000E-03,+377.889443E-03,-57.215326E-03,+432.808342E-03
-3.635000E-03,+371.859292E-03,-59.868592E-03,+427.423088E-03
-3.630000E-03,+365.829142E-03,-63.848492E-03,+424.680412E-03
-3.625000E-03,+351.758790E-03,-67.828391E-03,+413.249259E-03
-3.620000E-03,+345.728640E-03,-70.481658E-03,+405.882072E-03
-3.615000E-03,+329.648238E-03,-75.124874E-03,+401.132438E-03
-3.610000E-03,+317.587936E-03,-78.441456E-03,+391.047598E-03
-3.605000E-03,+299.497484E-03,-81.094723E-03,+380.962759E-03
-3.600000E-03,+297.487434E-03,-86.401255E-03,+370.927969E-03
-3.595000E-03,+287.437183E-03,-89.054522E-03,+366.178335E-03
-3.590000E-03,+261.306530E-03,-91.707788E-03,+356.093496E-03
-3.585000E-03,+251.256279E-03,-96.351004E-03,+343.341054E-03
-3.580000E-03,+249.246228E-03,-99.667587E-03,+338.616445E-03
-3.575000E-03,+225.125626E-03,-99.667587E-03,+325.203358E-03
-3.570000E-03,+213.065324E-03,-104.974119E-03,+311.790272E-03
-3.565000E-03,+201.005023E-03,-106.964069E-03,+304.398060E-03
-3.560000E-03,+184.924621E-03,-110.280652E-03,+292.991932E-03
